Timestamp,instructions,cpu-cycles,branch-misses,L1-dcache-load-misses,l2_rqsts.miss,LLC-load-misses
     0.012121369,29965201,20487532,87597,286486,316999,29417
     0.024340946,4048544,3661538,23563,42386,70881,6322
     0.036489715,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.048607340,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.060741480,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.072886264,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.085027877,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.097160907,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.109295442,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.121526739,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.133670403,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.145841257,20029007,18724095,82369,213106,299432,22716
     0.158374461,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.170537521,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.182706931,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.194843605,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.207354460,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.219499162,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.231643610,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.243806860,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.255971708,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.268127348,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.280260912,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.292384738,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.304494952,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.316629449,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.329103712,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.341261639,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.353419431,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.365567799,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.377684934,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.389823405,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.401998077,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.414138315,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.426281841,96926,383224,1648,5456,10047,1093
     0.438452827,331635,765478,4723,7352,12417,1883
     0.450566859,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.462691325,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.474765785,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.486874040,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.498985149,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.511090574,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.523211234,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.535341068,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.547496548,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.559630280,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.571747293,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.583883203,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.596036890,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.608201699,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.620352634,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.632498631,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.644676623,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.656856168,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.673639656,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.685805282,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.697968891,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.710129329,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.722292606,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.734457896,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.746628680,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.758785334,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.770927119,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.783115679,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.795250994,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.807377823,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.819503221,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.831638821,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.843777431,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.855926056,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.868063263,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.880209880,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.892378938,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.904546796,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.916726278,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.928888460,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.941042581,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.953209039,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.965367537,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.977523950,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.989667840,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.001828613,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.014001112,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.026169170,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.038351209,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.050551642,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.062745803,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.074934796,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.087111926,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.099288308,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.111470013,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.123652349,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.135823211,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.148004516,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.160169286,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.172351170,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.184518487,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.196685054,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.209231324,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.221405812,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.233566366,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.245742221,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.257929829,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.270120532,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.282298933,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.294485815,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.306662807,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.318846149,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.331040595,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.343229369,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.355435339,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.367687971,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.379859638,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.392051496,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.404255335,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.416460703,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.428676866,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.440884365,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.453084773,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.465254316,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.477416517,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.489585840,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.501752550,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.513911076,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.526113928,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.538251931,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.550437510,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.562580065,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.574713608,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.586859890,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.598997636,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.611140237,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.623304356,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     1.635463488,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
